cnpjorigemdados;dataatualizacao;iditem;descricaoitem;vlrunitario;armazem;qtdtotal;vlrtotal;qtdpedidavenda;qtdreservada;qtdprevisaoentrada;dtultimavenda;teste
12345678000199;2021-08-19 00:45:36;0021336094;VALVULA DE DRENO;2292.92;P01--020;1.00;2292.92;0;0;0;2019-07-01;2019-07-10
12345678000199;2021-08-19 00:45:36;0050010215;ARRUELA;5.20;P08--047;4.00;20.79;0;0;0;2018-12-13;2019-02-28
12345678000199;2021-08-19 00:45:36;0050035223;PARAFUSO;1.23;P02--048;14.00;17.18;0;0;0;2020-12-31;2021-01-07
12345678000199;2021-08-19 00:45:36;0050047771;ARRUELA;0.49;P16--034;214.00;104.86;0;0;0;2020-12-31;2021-01-22
12345678000199;2021-08-19 00:45:36;0051377934;Parafuso;2.88;P07--050;70.00;201.62;0;0;0;2020-12-31;2021-01-14
12345678000199;2021-08-19 00:45:36;0071341771;Engate ;121.44;P11--053;1.00;121.44;0;0;0;2020-01-31;2020-01-22
12345678000199;2021-08-19 00:45:36;0071341772;Engate ;238.27;P04--174;1.00;238.27;0;0;0;2019-04-05;2019-04-04
12345678000199;2021-08-19 00:45:36;0071342926;Plugue ;221.83;P06--082;9.00;1996.44;0;0;0;2020-12-11;2020-12-30
12345678000199;2021-08-19 00:45:36;0080033078;MANGUEIRA DO RADIADO;269.11;R01-C-002;3.00;807.32;0;0;0;2020-07-07;2020-09-04
12345678000199;2021-08-19 00:45:36;0080284428;Indicador de nivel;83.31;P16--240;2.00;166.61;0;0;0;2020-07-09;2020-07-10
12345678000199;2021-08-19 00:45:36;0080312570;TUBO ;179.63;P05--082;1.00;179.63;0;0;0;2020-12-29;2021-01-05
12345678000199;2021-08-19 00:45:36;010.0011-0;OLEO MS LUB1 LITRO;18.27;P13--019;6.00;109.60;0;0;0;2020-05-22;1900-01-01
12345678000199;2021-08-19 00:45:36;010279 ;CORRENTE SIMPLS 80MM;48.69;P15--019;2.00;97.38;0;0;0;2016-08-09;1900-01-01
12345678000199;2021-08-19 00:45:36;0111378973;BUCHA;17.86;P09--044;12.00;214.26;0;0;0;2020-12-31;2021-01-06
12345678000199;2021-08-19 00:45:36;0121326069;Rolamento ;993.11;R03-A-003;12.00;11917.26;0;0;0;2021-01-12;2021-01-12
12345678000199;2021-08-19 00:45:36;0121378786;Rolamento ;112.01;P09--082;4.00;448.04;0;0;0;2020-12-31;2020-12-18
12345678000199;2021-08-19 00:45:36;0131302893;PINO ;7.49;P09--027;8.00;59.91;0;0;0;2020-06-22;2020-10-05
12345678000199;2021-08-19 00:45:36;0151300689;ANEL O ;4.82;P09--050;4.00;19.27;0;0;0;2020-10-09;2020-10-16
12345678000199;2021-08-19 00:45:36;0151333927;Para-choque;91.06;R03-B-004;59.00;5372.51;0;0;0;2020-12-22;2021-01-19
12345678000199;2021-08-19 00:45:36;0151399452;VEDACAO;747.41;P13--008;1.00;747.41;0;0;0;2020-12-29;2021-01-08
12345678000199;2021-08-19 00:45:36;0171302411;VEDACAO;83.43;P05--184;1.00;83.43;0;0;0;2019-07-01;2019-03-21
12345678000199;2021-08-19 00:45:36;0171307440;PASSADOR;12.98;P02--096;4.00;51.90;0;0;0;2020-07-21;2020-05-11
12345678000199;2021-08-19 00:45:36;022565-7;BOTINA INFANTIL-4045;124.21;RAK-COL-023;1.00;124.21;0;0;0;2016-05-07;1900-01-01
12345678000199;2021-08-19 00:45:36;0240059956;Secao;1.95;P14--017;65.00;126.49;0;0;0;2020-12-31;2020-09-25
12345678000199;2021-08-19 00:45:36;0261340058;ARRUELA;69.39;P08--006;3.00;208.16;0;0;0;2017-01-23;2020-09-30
12345678000199;2021-08-19 00:45:36;0290042754;Isolador;61.68;P09--085;11.00;678.53;0;0;0;2020-11-04;2020-11-13
